Regione,ASL,Città,CAP,Indirizzo,dug,civico,Farmacie,"Data Adesione al
protocollo"
010 - Piemonte,211 - CN2,Alba,12051,Piazza Risorgimento 5,Piazza Risorgimento,5,Farmacia Duomo Snc Boffa M,2021-08-16T00:00:00Z
010 - Piemonte,211 - CN2,Guarene,12050,Corso Asti 17/19,Corso Asti,17,Farmacia S Chiara S.R.L.,2021-08-06T00:00:00Z
010 - Piemonte,211 - CN2,Monforte D'alba,12065,Piazza Umberto Primo 10,Piazza Umberto Primo,10,Farmacia Perin S.N.C.,2021-08-07T00:00:00Z
010 - Piemonte,211 - CN2,Monchiero,12060,Via Borgonuovo 15 3,Via Borgonuovo,3,Farmacia S Anna,2021-08-14T00:00:00Z
010 - Piemonte,211 - CN2,Monticello D'alba,12066,Via Stazione 37/c,Via Stazione,37c,Farmacia Gallo,2021-08-30T00:00:00Z
010 - Piemonte,210 - CN1,Carrù,12061,Corso Einaudi 10,Corso Einaudi,10,Farmacia Andreis di Andreis Mario Romano e C. S.N.,2021-08-06T00:00:00Z
010 - Piemonte,210 - CN1,Farigliano,12060,Via Asilo 4,Via Asilo,4,Farmacia Giraudi Arianna,2021-08-06T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,Rionero In Vulture,85028,Via Sauro 75,Via Sauro,75,Farmacia Papa Donatello,2021-08-10T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,Rionero In Vulture,85028,Monticchio Bagni,Monticchio Bagni,,Farmacia del Prete Giuseppina,2021-08-06T00:00:00Z
010 - Piemonte,210 - CN1,Frabosa Sottana,12083,Via 4 Novembre,Via,4,Farmacia Denina,2021-08-06T00:00:00Z
010 - Piemonte,210 - CN1,Magliano Alpi,12060,Via Langhe 224,Via Langhe,224,Farmacia Occelli Dr Gianfr,2021-08-10T00:00:00Z
010 - Piemonte,210 - CN1,Vicoforte,12080,Piazza Carlo Emanuele 75,Piazza Carlo Emanuele,75,Farmacia del Santuario S.N.C.,2021-08-09T00:00:00Z
010 - Piemonte,210 - CN1,Piozzo,12060,Via Carrù 9,Via Carrù,9,Farmacia Musso Dr Marinella,2021-08-09T00:00:00Z
010 - Piemonte,210 - CN1,Carrù,12061,Piazza Caduti,Piazza Caduti,,Farmacia Manassero,2021-08-06T00:00:00Z
010 - Piemonte,210 - CN1,Dogliani,12063,Via Corte 3,Via Corte,3,Farmacia Schellino e C S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,210 - CN1,San Michele Mondovì,12080,Via Nielli 122,Via Nielli,122,Farmacia Perotti,2021-08-07T00:00:00Z
010 - Piemonte,210 - CN1,Mondovì,12084,Piazza Ellero 50,Piazza Ellero,50,Farmacia Turco di Tonelli Silvia E Gandolfi Chiar,2021-08-06T00:00:00Z
010 - Piemonte,210 - CN1,Villanova Mondovì,12089,Via Roma 1,Via Roma,1,Farmacia Vittoria S.N.C.,2021-08-07T00:00:00Z
010 - Piemonte,210 - CN1,Mondovì,12084,Piazza Maggiore 5,Piazza Maggiore,5,Farmacia Aragno S.A.S.,2021-08-27T00:00:00Z
010 - Piemonte,210 - CN1,Bagnasco,12071,Via Nazionale 50h,Via Nazionale,50h,Farmacia Dott. Martinetti e C. S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,210 - CN1,Ceva,12073,Via Marenco 81,Via Marenco,81,Farmacia Barberis S.A.S.,2021-08-10T00:00:00Z
010 - Piemonte,210 - CN1,Saliceto,12079,Via dei Fossi 1,Via dei Fossi,1,Farmacia Bartolomei S.N.C.,2021-09-08T00:00:00Z
010 - Piemonte,210 - CN1,Murazzano,12060,Piazza Umberto Primo 14,Piazza Umberto Primo,14,Farmacia Bernardi S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Alfieri 343,Corso Alfieri,343,Farmacia Piazza Roma del Dr Gatto,2021-08-07T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Torino 91,Corso Torino,91,Farmacia Maggiora S.N.C.,2021-08-14T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Alfieri 269,Corso Alfieri,269,Farmacia del Dottor Vittorio Monti S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,P.Zza V. Veneto 1,P.Zza V. Veneto,1,Farmacia Don Bosco di Aldo e Michela Pia S.N.C,2021-08-23T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Volta 101/a,Corso Volta,101a,Farmacia San Domenico Savio S.N.C.,2021-08-09T00:00:00Z
010 - Piemonte,212 - AT,Isola D Asti,14057,Corso G. B. Volpini 255,Corso G. B. Volpini,255,Farmacia Barberis,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,"Fraz. Portacomaro
Stazione, 70",14100,Frazione Portacomaro Stazione 70,Frazione Portacomaro Stazione,70,Farmacia Dalcielo,2021-08-21T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Piazza San Secondo 12,Piazza San Secondo,12,Farmacia Baronciani,2021-08-07T00:00:00Z
010 - Piemonte,212 - AT,Frazione Torrazzo,14100,Via Valle Tanaro 35,Via Valle Tanaro,35,Farmacia Valle Tanaro di Zavattaro Marco e C S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Via Corsi 1,Via Corsi,1,Nuova Farmacia Torretta S.N.C.,2021-08-07T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Felice Cavallotti 2/a,Corso Felice Cavallotti,2a,Farmacia Garello di Savio Fulvia,2021-08-25T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Piazza Catena 5a,Piazza Catena,5a,Farmacia Piazza Catena,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Alfieri 424,Corso Alfieri,424,Farmacia Liprandi S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Via Cavour 90,Via Cavour,90,Farmacia Moderna S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Castello di Annone,14034,Via Roma 80,Via Roma,80,Farmacia Dott.ssa Piacenza,2021-08-09T00:00:00Z
010 - Piemonte,212 - AT,Villafranca D'asti,14018,Via Roma 70,Via Roma,70,Farmacia Scaletta S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Montiglio Monferrato,14026,Via Torino 4,Via Torino,4,Farmacia San Lorenzo Dr. Berardo Alberto,2021-09-01T00:00:00Z
010 - Piemonte,212 - AT,Villanova D'asti,14019,Via T. Villa 13,Via T. Villa,13,Farmacia Vottero Snc di Regis Dott. Alberto e C.,2021-08-21T00:00:00Z
010 - Piemonte,212 - AT,Piovà Massaia,14026,Fraz. Gallareto - Via Asti 4,Via Asti,4,Farmacia San Francesco S.N.C.,2021-08-07T00:00:00Z
010 - Piemonte,212 - AT,San Damiano D'asti,14015,Via Roma 17,Via Roma,17,Farmacia Cerati Sas del Dott. Zambonardi Aldo e C.,2021-08-07T00:00:00Z
010 - Piemonte,212 - AT,Baldichieri D'asti,14011,Via Nazionale 39/a,Via Nazionale,39a,Farmacia Marello S.N.C.,2021-08-09T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Casale 180,Corso Casale,180,Farmacia S Lazzaro S.N.C.,2021-08-09T00:00:00Z
010 - Piemonte,212 - AT,Castell'alfero,14033,Piazza Mazzini 5,Piazza Mazzini,5,Farmacia Dr.ssa Benso,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Montechiaro D'asti,14025,Via Piesenzana 1 3,Via Piesenzana,3,Farmacia Tosi Dr Elisabetta,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Cocconato,14023,Piazza Cavour 22/b,Piazza Cavour,22b,Farmacia S S Trinita' S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Corso Savona 159,Corso Savona,159,Farmacia C So Savona S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Asti,14100,Via Antica Dogana 2/i Fr Quarto,Via Antica Dogana,2i,Farmacia del Popolo,2021-08-09T00:00:00Z
010 - Piemonte,212 - AT,Vesime,14059,Via S Lucia 5,Via S Lucia,5,Farmacia Gallo S N C,2021-08-07T00:00:00Z
010 - Piemonte,212 - AT,Canelli,14053,Via Alfieri 69,Via Alfieri,69,Farmacia Sacco S.N.C.,2021-08-16T00:00:00Z
010 - Piemonte,212 - AT,Mombaruzzo,14046,Piazza Marconi 11,Piazza Marconi,11,Farmacia del Dottor Vittorio Monti S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,212 - AT,Roccaverano,14050,Via Cavour 6,Via Cavour,6,Farmacia Sperati Dr. Massimo,2021-08-07T00:00:00Z
010 - Piemonte,212 - AT,Costigliole D'asti,14055,Piazza A. Scotti 1/2,Piazza A. Scotti,1/2,Farmacia Centrale S.A.S. di Verri Dr. Paolo e C.,2021-08-09T00:00:00Z
010 - Piemonte,212 - AT,Nizza Monferrato,14049,Via Pio Corsi,Via Pio Corsi,,Farmacia Dova S.N.C.,2021-08-08T00:00:00Z
010 - Piemonte,212 - AT,San Marzano Oliveto,14050,Reg Leiso 86A,Reg Leiso,86a,Farmacia Dr Taddei Enrico,2021-08-09T00:00:00Z
010 - Piemonte,213 - AL,Alessandria,15121,Corso Carlo Marx 188,Corso Carlo Marx,188,Farmacia Don Bosco del Dott. Bellone Carlo Mario Antonio e C. S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Pietra Marazzi,15040,Via Roma 39,Via Roma,39,Farmacia San Martino Dott.ssa Ida Floris,2021-09-07T00:00:00Z
010 - Piemonte,213 - AL,Felizzano,15028,Via Paolo Ercole 78,Via Paolo Ercole,78,Farmacia Torti Dott. Paolo S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Quattordio,15028,Via Circonvallazione 1/a,Via Circonvallazione,1a,"Farmacia Mussore di Mussore Sonia, Demicheli Marz",2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Alessandria,15121,Via Vochieri 131,Via Vochieri,131,Farmacia Dott.ssa Tramontana Francesca,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Alessandria,15121,Via Galvani 6,Via Galvani,6,Farmacia Paolo Villosio S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,San Giuliano Vecchio,15122,Via Piacenza 48,Via Piacenza,48,Farmacia San Giuliano del Dott. Fabio Bianchi,2021-08-11T00:00:00Z
010 - Piemonte,213 - AL,Quargnento,15044,Piazza Primo Maggio 7,Piazza Primo Maggio,7,Farmacia Gatti Snc di Franco e Paolo Gatti,2021-08-09T00:00:00Z
010 - Piemonte,213 - AL,Bergamasco,15022,Via Cavallotti 28,Via Cavallotti,28,Farmacia Bramardi S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Litta Parodi,15122,Via Bellocchio 52,Via Bellocchio,52,Farmacia Dattrino Dott. Pierangelo Dattrino e C. S,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Alessandria,15121,Via Milano 31,Via Milano,31,Farmacia Falcone della Dott.ssa Paola Palazzolo E,2021-08-09T00:00:00Z
010 - Piemonte,213 - AL,Alessandria,15121,Corso Iv Novembre 38,Corso Iv Novembre,38,Farmacia della Pista S.A.S.Dott.ssa Piacenza Mari,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Mandrogne,15122,Via Novi 4,Via Novi,4,Farmacia Damilano di Dott.ssa Maria Damilano e Gi,2021-08-10T00:00:00Z
140 - Molise,201 - ASREM,Termoli,86039,Corso Nazionale 21/via R.Margherita di S. 11,Corso Nazionale,11,Farmacia Marino Dr. Pasquale,2021-08-09T00:00:00Z
140 - Molise,201 - ASREM,Termoli,86039,Via Tevere 17/g,Via Tevere,17g,Farmacie Trabocchi S.A.S. della Dott.ssa Emma Tra,2021-09-06T00:00:00Z
170 - Basilicata,202 - AZIENDA SANITARIA LOCALE DI MATERA ASM,Montescaglioso,75024,Piazza Roma 22,Piazza Roma,22,Farmacia Com Montescaglioso,2021-08-09T00:00:00Z
140 - Molise,201 - ASREM,Termoli,86039,Piazza G.Garibaldi 19,Piazza G.Garibaldi,19,Farmacia D'abramo Snc della Dr.ssa Alberta Rispol,2021-09-08T00:00:00Z
140 - Molise,201 - ASREM,Termoli,86039,Via del Molinello 12/a,Via del Molinello,12a,Farmacia del Molinello S.N.C. Del Dottor Pierpaol,2021-08-09T00:00:00Z
140 - Molise,201 - ASREM,Termoli,86039,Via del Pero 24,Via del Pero,24,Le Diomedee S.R.L.,2021-08-12T00:00:00Z
140 - Molise,201 - ASREM,Acquaviva Collecroce,86030,Via Pepe 24,Via Pepe,24,Farmacia Spadanuda Bruna Maria,2021-08-30T00:00:00Z
010 - Piemonte,213 - AL,Alessandria,15100,Largo Catania,Largo Catania,,Comunale Orti,2021-08-07T00:00:00Z
010 - Piemonte,213 - AL,Solero,15029,Via Bruno Pasino 17,Via Bruno Pasino,17,Fondazione Grattarola,2021-09-01T00:00:00Z
010 - Piemonte,213 - AL,Bosco Marengo,15062,Via Xx Settembre 20,Via Xx Settembre,20,Gragnolati,2021-08-06T00:00:00Z
140 - Molise,201 - ASREM,Civitacampomarano,86030,Via Xxiv Maggio 21,Via Xxiv Maggio,21,Farmacia Tolo Giuseppe,2021-08-27T00:00:00Z
010 - Piemonte,213 - AL,Valmadonna,15100,Via della Chiesa 15,Via della Chiesa,15,Farmacia Gervino Rosalba,2021-08-12T00:00:00Z
140 - Molise,201 - ASREM,Guglionesi,86034,Viale Margherita 41,Viale Margherita,41,Farmacia Berchicci Luigi,2021-08-30T00:00:00Z
140 - Molise,201 - ASREM,Guglionesi,86034,Viale Marconi 40,Viale Marconi,40,Farmacia Sorella Pasquale,2021-08-09T00:00:00Z
010 - Piemonte,213 - AL,Lu,15040,Via Marconi 13,Via Marconi,13,Scardina,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Masio,15024,Piazza Borgo Nuovo 3,Piazza Borgo Nuovo,3,Farm. Osella della Dott.ssa Margherita Osella e C. S.A.S.,2021-08-16T00:00:00Z
010 - Piemonte,213 - AL,Valenza,15048,Viale Santuario 37,Viale Santuario,37,Farmacia Zacchia Dr. Matilde,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,San Salvatore Monferrato,15046,Via Panza 61,Via Panza,61,Farmacia Gandini Piero Dr.Gandini Giovanni Battis,2021-08-19T00:00:00Z
010 - Piemonte,213 - AL,Bassignana,15042,Via Alessandria 25,Via Alessandria,25,Farmacia Mgf Snc 1,2021-08-06T00:00:00Z
140 - Molise,201 - ASREM,Montefalcone nel Sannio,86033,Via Vittorio Emanuele Secondo 85,Via Vittorio Emanuele Secondo,85,Farmacia Ciccarone Teresa,2021-08-12T00:00:00Z
010 - Piemonte,213 - AL,Valenza,15048,Corso Garibaldi 45,Corso Garibaldi,45,Farmacia Centrale,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Valenza,15048,Via Cavour 68,Via Cavour,68,Farmacia Arrigoni S.N.C.,2021-08-06T00:00:00Z
140 - Molise,201 - ASREM,Petacciato,86038,Via Pietravalle 17,Via Pietravalle,17,Farmacia Labrozzi S.R.L.,2021-08-06T00:00:00Z
140 - Molise,201 - ASREM,Portocannone,86045,Via Papa Giovanni Xxiii 3,Via Papa Giovanni Xxiii,3,Farmacia San Pio del Dr. Mauro Pennetti e C. S.A.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Tortona,15057,Piazza Salvator Allende 3,Piazza Salvator Allende,3,Antica Farmacia Bidone S.N.C. del Dr Gasio Danil,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Tortona,15057,Via Emila 228,Via Emila,228,Farmacia Zerba S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Tortona,15057,Strada Statale Per Voghera 14/b,Strada Statale Per Voghera,14b,Farmacia Moderna,2021-08-30T00:00:00Z
010 - Piemonte,213 - AL,Tortona,15057,Strada Per Viguzzolo 2,Strada Per Viguzzolo,2,Farmacia Oasi,2021-08-07T00:00:00Z
010 - Piemonte,213 - AL,Sale,15045,Via Roma 23,Via Roma,23,Farmacia Calleri Vincenzo della Dott.ssa Calleri,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Casalnoceto,15052,P.Zza Martiri della Libertà 28/29,P.Zza Martiri della Libertà,28,Farmacia dellagiovanna,2021-08-10T00:00:00Z
010 - Piemonte,213 - AL,Pontecurone,15055,Piazza Matteotti 9,Piazza Matteotti,9,Farmacia Mocchi S.R.L.,2021-08-20T00:00:00Z
010 - Piemonte,213 - AL,Volpedo,15059,Piazza Libertà 1,Piazza Libertà,1,Baravalle,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Serravalle Scrivia,15069,Via Novi 65,Via Novi,65,Pharmacia Libarna di Marenco Anna Maria e C. S.A.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Arquata Scrivia,15061,Via Roma 34,Via Roma,34,Farmacia Moderna di Fossati Marina E C S.N.C.,2021-08-07T00:00:00Z
010 - Piemonte,213 - AL,Arquata Scrivia,15061,Via Libarna 230,Via Libarna,230,Farmacia Giacoboni di Ghiglione A.E Rampini S. S.,2021-08-31T00:00:00Z
010 - Piemonte,213 - AL,Albera Ligure,15060,Strada Roma 13 Frazione San Martino,Strada Roma,13,Farmacia di Albera Ligure,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Cassano Spinola,15063,Via Circonvallazione 32,Via Circonvallazione,32,Farmacia Barozzi S.N.C. di Barozzi Dr.ssa Gabriel,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Novi Ligure,15067,Viale dei Campionissimi 2/a,Viale dei Campionissimi,2a,Farmacia Novinove di Spagarino Dott.ssa Mariella,2021-08-10T00:00:00Z
010 - Piemonte,213 - AL,Novi Ligure,15067,Via Verdi 104,Via Verdi,104,"Farmacia Pieve dei Dottori Gianluca Ludovici, Ravera Francesca e Traverso Cinzia S.N.C.",2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Pozzolo Formigaro,15068,Piazza Matteotti 9,Piazza Matteotti,9,Perseghini di Enrico Jr. Perseghini E C. S.N.C.,2021-08-09T00:00:00Z
010 - Piemonte,213 - AL,Basaluzzo,15060,Via Marconi 2,Via Marconi,2,Farmacia Moccagatta S.A.S. di Luciana Moccagatta,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Pasturana,15060,Via Roma 16,Via Roma,16,Farmacia Bianchi Dr Marcella,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Novi Ligure,15067,Via Garibaldi 1,Via Garibaldi,1,Farmacia Valletta S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Novi Ligure,15067,Via Giovanni Xxiii 3,Via Giovanni Xxiii,3,Moderna,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80129,Via Morghen 167 169,Via Morghen,169,Cavagnoli Raffaele,2021-08-12T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80127,Via Belvedere 6,Via Belvedere,6,Farmacia Elifani di Di Iorio Michele,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Cremolino,15010,Via Crosio 17/r,Via Crosio,17r,Farmacia Alpa di Alpa Enrica Serena,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Ovada,15076,Piazza Nervi 4/c,Piazza Nervi,4c,Farmacia Borgovada S.R.L.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Trisobbio,15070,Via Roma 6,Via Roma,6,Farmacia Roma,2021-08-18T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80126,Via G.Gigante 186,Via G.Gigante,186,Cifariello Filippo,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80128,Via Orsi 99,Via Orsi,99,Farmacia Ricciardiello Dott.F.E I.Ricciardiello Sn,2021-08-23T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80127,Via Luca Giordano 67,Via Luca Giordano,67,Ramasco Massimiliano,2021-08-16T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80131,Via Mariano Semmola 128,Via Mariano Semmola,128,Caretti Luigi Maria,2021-08-23T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80128,Via Pisciscelli 138 140 142,Via Pisciscelli,142,Farmacia del Vomero del Dott. Astuni Castagna At,2021-08-09T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80129,Piazza Leonardo 25 26 27 28,Piazza Leonardo,28,Farmacia Ettore Florio dei Dott. Ettore e Patrizi,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80127,Via Belvedere 226,Via Belvedere,226,Farmacia Segreto Sas Dott. Francesco Segreto,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80128,Via Luigi Caldieri 136 138,Via Luigi Caldieri,138,Farmacia Carella della Dr.ssa Maria Cristina Care,2021-08-30T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80128,Via Pigna N153-157,Via Pigna N,153-157,Farmacia Dott. Russo Giovanni e Co. S.A.S,2021-08-28T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80128,Via Simone 80,Via Simone,80,Farmacia Dott. Giovanni Russo S.A.S.,2021-08-30T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80128,Via Luca Giordano Nn144 146,Via Luca Giordano Nn,146,Farmacia Ariston Padovani S.A.S Dott. Marco Padov,2021-08-07T00:00:00Z
010 - Piemonte,213 - AL,Silvano D'orba,15060,Via Aldo Moro 1,Via Aldo Moro,1,Farmacia Pareto,2021-08-17T00:00:00Z
010 - Piemonte,213 - AL,Molare,15074,Via 3-5-7,Via,3-5-7,Farmacia Gualco S N C e P M,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Rocca Grimalda,15078,Piazza Vittorio Veneto 2,Piazza Vittorio Veneto,2,Farmacia Dr Balza Giovanni,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Carpeneto,15071,Piazza Vittorio Emanuele Ii 12,Piazza Vittorio Emanuele Ii,12,Farmacia del Borgo S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Acqui Terme,15011,Corso Bagni 65,Corso Bagni,65,Farmacia Dr.Baccino Marco,2021-08-09T00:00:00Z
010 - Piemonte,213 - AL,Acqui Terme,15011,Corso Italia 70,Corso Italia,70,Farmacia Albertini di Dott.Galasso Enzo e C. S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Ricaldone,15010,Piazzabeltrame Culeo 5,Piazzabeltrame Culeo,5,Farmacia Dottor Lavignani Srls,2021-09-03T00:00:00Z
010 - Piemonte,213 - AL,Spigno Monferrato,15018,Corso Roma 35,Corso Roma,35,Farmacia Sant'ambrogio,2021-08-20T00:00:00Z
010 - Piemonte,213 - AL,Cerrina Monferrato,15020,Via Nazionale Nr. 102,Via Nazionale Nr.,102,Farmacia Cerrina di Schiattarella Andrea,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Trino,13039,Corso Italia 24,Corso Italia,24,Farmacia Ospedale di Pasquino S.N.C.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Borgo San Martino,15032,Via Pampuro 2,Via Pampuro,2,Farmacia Ferretti S.A.S.,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,San Giorgio Monferrato,15030,Strada Casale Asti 94,Strada Casale Asti,94,Farmacia San Giorgio Dott.ssa Laura Scarrone,2021-08-25T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,San Fele,85020,Via V. Emanuele 42,Via V. Emanuele,42,Farmacia Dr.ssa Gramegna Giuseppina E C. S.A.S.,2021-08-07T00:00:00Z
010 - Piemonte,213 - AL,Moncalvo,14036,Via Cissello 9,Via Cissello,9,Farmacia Ottone,2021-08-31T00:00:00Z
010 - Piemonte,213 - AL,Casale Monferrato,15033,Via Cardinal Massaia 9,Via Cardinal Massaia,9,Farmacia di Porta Milano,2021-09-06T00:00:00Z
010 - Piemonte,213 - AL,Pontestura,15027,Corso Roma 27,Corso Roma,27,Farmacia Domanda,2021-08-06T00:00:00Z
010 - Piemonte,213 - AL,Valmacca,15040,Via V Emanuele Ii 7,Via V Emanuele Ii,7,Farmacia Fara Dott Sosso G,2021-08-06T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,Sant'angelo Le Fratte,85050,Via San Michele 45,Via San Michele,45,Farmacia Dr.ssa di Carlo Carmela,2021-08-12T00:00:00Z
180 - Calabria,204 - ASP DI VIBO VALENTIA,Zambrone,89868,Piazza San Carlo 1,Piazza San Carlo,1,Farmacia San Carlo S.R.L.,2021-08-12T00:00:00Z
130 - Abruzzo,202 - ASL 2 LANCIANO- VASTO-CHIETI,Francavilla al Mare,66023,C.Da Pretaro 1/b,C.Da Pretaro,1b,Farmacia Berardocco Nadia,2021-08-06T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,Sant'arcangelo,85037,Corso Umberto I 2,Corso Umberto I,2,Farmacia Dr. Giordano Nicola,2021-08-26T00:00:00Z
180 - Calabria,205 - ASP DI REGGIO CALABRIA,San Giorgio Morgeto,89017,Largo M. Ammendolea 3,Largo M. Ammendolea,3,Masciana' Dr. Bruno,2021-08-26T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,Sant'arcangelo,85037,Viale Europa 23 Fraz. San Brancato,Viale Europa,23,Farmacia Dr. Sansanelli Simone,2021-08-07T00:00:00Z
170 - Basilicata,202 - AZIENDA SANITARIA LOCALE DI MATERA ASM,Nova Siri Scalo,75020,Viale Siris 109,Viale Siris,109,Farmacia Izzi del Dott. Izzi Rocco e C. S.A.S.,2021-08-23T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,Sarconi,85050,Via Niccolò Ramagli 15,Via Niccolò Ramagli,15,Farmacia Dr.ssa Tedesco Grazia,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80145,Via Labriola 6,Via Labriola,6,Farmacia del Dott. Iorio Riccardo Maria,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80145,Corso Marianella 25,Corso Marianella,25,Salvati Veronica,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80145,Via Mugnano Marianella 9 - 9b 11,Via Mugnano Marianella,11,Farmacia Terranova Barberio del Dr Terranova Barb,2021-08-06T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80130,Via E. Scaglione Nn 64/66,Via E. Scaglione Nn,64,Farmacia Metropolitana S.R.L.,2021-08-30T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Napoli,80145,Via S.Maria a Cubito 441 a E 441B,Via S.Maria a Cubito,441 a e 441b,Farmacie Leone S.R.L.,2021-08-07T00:00:00Z
150 - Campania,204 - NAPOLI 1 CENTRO,Na,80141,Via Antonio Labriola 220/222 Isolato 8,Via Antonio Labriola,8,Farmacia F.G.A Dott. Achille Arciero S.A.S.,2021-08-06T00:00:00Z
170 - Basilicata,201 - AZIENDA SANITARIA LOCALE DI POTENZA ASP,Senise,85038,Corso V. Emanuele 113,Corso V. Emanuele,113,Farmacia Dott. Giannicola Mele,2021-08-10T00:00:00Z
